,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.nearest_syn_neighbor_distance.mean,0.541825,0.541825,0.541825,0.0,0.541825,0.0,1,0,0.00
sanity.close_values_probability.score,0.019481,0.019481,0.019481,0.0,0.019481,0.0,1,0,0.00
sanity.distant_values_probability.score,0.116883,0.116883,0.116883,0.0,0.116883,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.058585,0.058585,0.058585,0.0,0.058585,0.0,1,0,0.06
stats.chi_squared_test.marginal,0.326348,0.326348,0.326348,0.0,0.326348,0.0,1,0,0.01
stats.inv_kl_divergence.marginal,0.340218,0.340218,0.340218,0.0,0.340218,0.0,1,0,0.01
stats.ks_test.marginal,0.550505,0.550505,0.550505,0.0,0.550505,0.0,1,0,0.01
stats.max_mean_discrepancy.joint,0.014938,0.014938,0.014938,0.0,0.014938,0.0,1,0,0.01
stats.wasserstein_dist.joint,1.538166,1.538166,1.538166,0.0,1.538166,0.0,1,0,0.02
stats.prdc.precision,0.538961,0.538961,0.538961,0.0,0.538961,0.0,1,0,0.01
stats.prdc.recall,0.610390,0.610390,0.610390,0.0,0.610390,0.0,1,0,0.01
stats.prdc.density,0.168831,0.168831,0.168831,0.0,0.168831,0.0,1,0,0.01
stats.prdc.coverage,0.019481,0.019481,0.019481,0.0,0.019481,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.076623,0.076623,0.076623,0.0,0.076623,0.0,1,0,2.24
stats.alpha_precision.delta_coverage_beta_OC,0.000433,0.000433,0.001000,0.0,0.000433,0.0,1,0,2.24
stats.alpha_precision.authenticity_OC,0.902597,0.902597,0.902597,0.0,0.902597,0.0,1,0,2.24
stats.alpha_precision.delta_precision_alpha_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.24
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.24
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.24
performance.linear_model.gt,0.821528,0.821528,0.821528,0.0,0.821528,0.0,1,0,0.34
performance.linear_model.syn_id,0.634722,0.634722,0.634722,0.0,0.634722,0.0,1,0,0.34
performance.linear_model.syn_ood,0.418182,0.418182,0.418182,0.0,0.418182,0.0,1,0,0.34
performance.mlp.gt,0.441406,0.441406,0.441406,0.0,0.441406,0.0,1,0,5.52
