,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.294795,0.294795,0.294795,0.0,0.294795,0.0,1,0,0.00
sanity.close_values_probability.score,0.359375,0.359375,0.359375,0.0,0.359375,0.0,1,0,0.00
sanity.distant_values_probability.score,0.046875,0.046875,0.046875,0.0,0.046875,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.067584,0.067584,0.067584,0.0,0.067584,0.0,1,0,0.25
stats.chi_squared_test.marginal,0.219416,0.219416,0.219416,0.0,0.219416,0.0,1,0,0.04
stats.inv_kl_divergence.marginal,0.378262,0.378262,0.378262,0.0,0.378262,0.0,1,0,0.03
stats.ks_test.marginal,0.381811,0.381811,0.381811,0.0,0.381811,0.0,1,0,0.04
stats.max_mean_discrepancy.joint,0.031250,0.031250,0.031250,0.0,0.031250,0.0,1,0,0.01
stats.wasserstein_dist.joint,120.782576,120.782576,120.782576,0.0,120.782576,0.0,1,0,0.02
stats.prdc.precision,0.156250,0.156250,0.156250,0.0,0.156250,0.0,1,0,0.01
stats.prdc.recall,0.984375,0.984375,0.984375,0.0,0.984375,0.0,1,0,0.01
stats.prdc.density,0.031250,0.031250,0.031250,0.0,0.031250,0.0,1,0,0.01
stats.prdc.coverage,0.015625,0.015625,0.015625,0.0,0.015625,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.001042,0.001042,0.001042,0.0,0.001042,0.0,1,0,2.20
stats.alpha_precision.delta_coverage_beta_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.20
stats.alpha_precision.authenticity_OC,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.20
stats.alpha_precision.delta_precision_alpha_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.20
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.20
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.20
performance.linear_model.gt,0.489333,0.489333,0.489333,0.0,0.489333,0.0,1,0,0.40
performance.linear_model.syn_id,0.525333,0.525333,0.525333,0.0,0.525333,0.0,1,0,0.40
performance.linear_model.syn_ood,0.619048,0.619048,0.619048,0.0,0.619048,0.0,1,0,0.40
performance.mlp.gt,0.576000,0.576000,0.576000,0.0,0.576000,0.0,1,0,5.72
performance.mlp.syn_id,0.453333,0.453333,0.453333,0.0,0.453333,0.0,1,0,5.72
performance.mlp.syn_ood,0.619048,0.619048,0.619048,0.0,0.619048,0.0,1,0,5.72
performance.xgb.gt,0.680000,0.680000,0.680000,0.0,0.680000,0.0,1,0,0.56
performance.xgb.syn_id,0.612000,0.612000,0.612000,0.0,0.612000,0.0,1,0,0.56
performance.xgb.syn_ood,0.642857,0.642857,0.642857,0.0,0.642857,0.0,1,0,0.56
performance.linear_model_augmentation.gt,0.489333,0.489333,0.489333,0.0,0.489333,0.0,1,0,0.34
performance.linear_model_augmentation.aug_ood,0.619048,0.619048,0.619048,0.0,0.619048,0.0,1,0,0.34
performance.mlp_augmentation.gt,0.576000,0.576000,0.576000,0.0,0.576000,0.0,1,0,5.65
performance.mlp_augmentation.aug_ood,0.619048,0.619048,0.619048,0.0,0.619048,0.0,1,0,5.65
performance.xgb_augmentation.gt,0.680000,0.680000,0.680000,0.0,0.680000,0.0,1,0,0.57
performance.xgb_augmentation.aug_ood,0.642857,0.642857,0.642857,0.0,0.642857,0.0,1,0,0.57
performance.feat_rank_distance.corr,-0.051282,-0.051282,0.001000,0.0,-0.051282,0.0,1,0,0.18
performance.feat_rank_distance.pvalue,0.857734,0.857734,0.857734,0.0,0.857734,0.0,1,0,0.18
detection.detection_xgb.mean,0.998718,0.998718,0.998718,0.0,0.998718,0.0,1,0,0.11
detection.detection_mlp.mean,0.965385,0.965385,0.965385,0.0,0.965385,0.0,1,0,1.74
detection.detection_gmm.mean,0.489744,0.489744,0.489744,0.0,0.489744,0.0,1,0,0.12
detection.detection_linear.mean,0.969231,0.969231,0.969231,0.0,0.969231,0.0,1,0,25.16
privacy.delta-presence.score,2.187500,2.187500,2.187500,0.0,2.187500,0.0,1,0,0.03
privacy.k-anonymization.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.04
privacy.k-anonymization.syn,2.000000,2.000000,2.000000,0.0,2.000000,0.0,1,0,0.04
privacy.k-map.score,4.000000,4.000000,4.000000,0.0,4.000000,0.0,1,0,0.03
privacy.distinct l-diversity.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.05
privacy.distinct l-diversity.syn,2.000000,2.000000,2.000000,0.0,2.000000,0.0,1,0,0.05
privacy.identifiability_score.score,0.015625,0.015625,0.015625,0.0,0.015625,0.0,1,0,0.07
privacy.identifiability_score.score_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.07
privacy.DomiasMIA_BNAF.accuracy,0.046729,0.046729,0.046729,0.0,0.046729,0.0,1,0,254.94
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,254.94
privacy.DomiasMIA_prior.accuracy,0.528037,0.528037,0.528037,0.0,0.528037,0.0,1,0,0.02
privacy.DomiasMIA_prior.aucroc,0.722549,0.722549,0.722549,0.0,0.722549,0.0,1,0,0.02
