,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.382959,0.382959,0.382959,0.0,0.382959,0.0,1,0,0.00
sanity.close_values_probability.score,0.146512,0.146512,0.146512,0.0,0.146512,0.0,1,0,0.00
sanity.distant_values_probability.score,0.009302,0.009302,0.009302,0.0,0.009302,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.117114,0.117114,0.117114,0.0,0.117114,0.0,1,0,0.29
stats.chi_squared_test.marginal,0.265286,0.265286,0.265286,0.0,0.265286,0.0,1,0,0.04
stats.inv_kl_divergence.marginal,0.485786,0.485786,0.485786,0.0,0.485786,0.0,1,0,0.04
stats.ks_test.marginal,0.298520,0.298520,0.298520,0.0,0.298520,0.0,1,0,0.06
stats.max_mean_discrepancy.joint,0.004651,0.004651,0.004651,0.0,0.004651,0.0,1,0,0.03
stats.wasserstein_dist.joint,7.255506,7.255506,7.255506,0.0,7.255506,0.0,1,0,0.14
stats.prdc.precision,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.02
stats.prdc.recall,0.202326,0.202326,0.202326,0.0,0.202326,0.0,1,0,0.02
stats.prdc.density,0.882791,0.882791,0.882791,0.0,0.882791,0.0,1,0,0.02
stats.prdc.coverage,0.155814,0.155814,0.155814,0.0,0.155814,0.0,1,0,0.02
stats.alpha_precision.delta_precision_alpha_OC,0.081860,0.081860,0.081860,0.0,0.081860,0.0,1,0,3.10
stats.alpha_precision.delta_coverage_beta_OC,0.035194,0.035194,0.035194,0.0,0.035194,0.0,1,0,3.10
stats.alpha_precision.authenticity_OC,0.988372,0.988372,0.988372,0.0,0.988372,0.0,1,0,3.10
stats.alpha_precision.delta_precision_alpha_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,3.10
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,3.10
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,3.10
performance.linear_model.gt,0.781944,0.781944,0.781944,0.0,0.781944,0.0,1,0,10.20
performance.linear_model.syn_id,0.392404,0.392404,0.392404,0.0,0.392404,0.0,1,0,10.20
performance.linear_model.syn_ood,0.430952,0.430952,0.430952,0.0,0.430952,0.0,1,0,10.20
performance.mlp.gt,0.495556,0.495556,0.495556,0.0,0.495556,0.0,1,0,11.51
performance.mlp.syn_id,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,11.51
performance.mlp.syn_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,11.51
performance.xgb.gt,0.912566,0.912566,0.912566,0.0,0.912566,0.0,1,0,0.91
performance.xgb.syn_id,0.446172,0.446172,0.446172,0.0,0.446172,0.0,1,0,0.91
performance.xgb.syn_ood,0.317262,0.317262,0.317262,0.0,0.317262,0.0,1,0,0.91
performance.linear_model_augmentation.gt,0.781944,0.781944,0.781944,0.0,0.781944,0.0,1,0,10.97
performance.linear_model_augmentation.aug_ood,0.430952,0.430952,0.430952,0.0,0.430952,0.0,1,0,10.97
performance.mlp_augmentation.gt,0.495556,0.495556,0.495556,0.0,0.495556,0.0,1,0,11.99
performance.mlp_augmentation.aug_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,11.99
performance.xgb_augmentation.gt,0.912566,0.912566,0.912566,0.0,0.912566,0.0,1,0,0.94
performance.xgb_augmentation.aug_ood,0.317262,0.317262,0.317262,0.0,0.317262,0.0,1,0,0.94
performance.feat_rank_distance.corr,-0.035333,-0.035333,0.001000,0.0,-0.035333,0.0,1,0,0.33
performance.feat_rank_distance.pvalue,0.630389,0.630389,0.630389,0.0,0.630389,0.0,1,0,0.33
detection.detection_xgb.mean,0.999892,0.999892,0.999892,0.0,0.999892,0.0,1,0,0.18
detection.detection_mlp.mean,0.997255,0.997255,0.997255,0.0,0.997255,0.0,1,0,7.59
detection.detection_gmm.mean,0.865806,0.865806,0.865806,0.0,0.865806,0.0,1,0,7.29
detection.detection_linear.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,32.78
privacy.delta-presence.score,70.999999,70.999999,70.999999,0.0,70.999999,0.0,1,0,0.30
privacy.k-anonymization.gt,18.000000,18.000000,18.000000,0.0,18.000000,0.0,1,0,0.56
privacy.k-anonymization.syn,2.000000,2.000000,2.000000,0.0,2.000000,0.0,1,0,0.56
privacy.k-map.score,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.37
privacy.distinct l-diversity.gt,18.000000,18.000000,18.000000,0.0,18.000000,0.0,1,0,0.66
privacy.distinct l-diversity.syn,2.000000,2.000000,2.000000,0.0,2.000000,0.0,1,0,0.66
privacy.identifiability_score.score,0.058140,0.058140,0.058140,0.0,0.058140,0.0,1,0,0.08
privacy.identifiability_score.score_OC,0.018605,0.018605,0.018605,0.0,0.018605,0.0,1,0,0.08
privacy.DomiasMIA_BNAF.accuracy,0.007220,0.007220,0.007220,0.0,0.007220,0.0,1,0,288.34
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,288.34
privacy.DomiasMIA_prior.accuracy,0.347292,0.347292,0.347292,0.0,0.347292,0.0,1,0,0.15
privacy.DomiasMIA_prior.aucroc,0.470109,0.470109,0.470109,0.0,0.470109,0.0,1,0,0.15
