,min,max,mean,stddev,median,iqr,rounds,errors,durations
sanity.data_mismatch.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.00
sanity.common_rows_proportion.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
sanity.nearest_syn_neighbor_distance.mean,0.220345,0.220345,0.220345,0.0,0.220345,0.0,1,0,0.00
sanity.close_values_probability.score,0.540984,0.540984,0.540984,0.0,0.540984,0.0,1,0,0.00
sanity.distant_values_probability.score,0.016393,0.016393,0.016393,0.0,0.016393,0.0,1,0,0.00
stats.jensenshannon_dist.marginal,0.137329,0.137329,0.137329,0.0,0.137329,0.0,1,0,0.35
stats.chi_squared_test.marginal,0.223466,0.223466,0.223466,0.0,0.223466,0.0,1,0,0.06
stats.inv_kl_divergence.marginal,0.431872,0.431872,0.431872,0.0,0.431872,0.0,1,0,0.05
stats.ks_test.marginal,0.208138,0.208138,0.208138,0.0,0.208138,0.0,1,0,0.05
stats.max_mean_discrepancy.joint,0.034317,0.034317,0.034317,0.0,0.034317,0.0,1,0,0.01
stats.wasserstein_dist.joint,16.114804,16.114804,16.114804,0.0,16.114804,0.0,1,0,0.03
stats.prdc.precision,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.01
stats.prdc.recall,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.01
stats.prdc.density,0.485246,0.485246,0.485246,0.0,0.485246,0.0,1,0,0.01
stats.prdc.coverage,0.049180,0.049180,0.049180,0.0,0.049180,0.0,1,0,0.01
stats.alpha_precision.delta_precision_alpha_OC,0.128962,0.128962,0.128962,0.0,0.128962,0.0,1,0,2.19
stats.alpha_precision.delta_coverage_beta_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.19
stats.alpha_precision.authenticity_OC,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.19
stats.alpha_precision.delta_precision_alpha_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.19
stats.alpha_precision.delta_coverage_beta_naive,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,2.19
stats.alpha_precision.authenticity_naive,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,2.19
performance.linear_model.gt,0.760317,0.760317,0.760317,0.0,0.760317,0.0,1,0,0.38
performance.linear_model.syn_id,0.487302,0.487302,0.487302,0.0,0.487302,0.0,1,0,0.38
performance.linear_model.syn_ood,0.666667,0.666667,0.666667,0.0,0.666667,0.0,1,0,0.38
performance.mlp.gt,0.647619,0.647619,0.647619,0.0,0.647619,0.0,1,0,4.89
performance.mlp.syn_id,0.647619,0.647619,0.647619,0.0,0.647619,0.0,1,0,4.89
performance.mlp.syn_ood,0.416667,0.416667,0.416667,0.0,0.416667,0.0,1,0,4.89
performance.xgb.gt,0.652381,0.652381,0.652381,0.0,0.652381,0.0,1,0,0.68
performance.xgb.syn_id,0.422222,0.422222,0.422222,0.0,0.422222,0.0,1,0,0.68
performance.xgb.syn_ood,0.472222,0.472222,0.472222,0.0,0.472222,0.0,1,0,0.68
performance.linear_model_augmentation.gt,0.760317,0.760317,0.760317,0.0,0.760317,0.0,1,0,0.39
performance.linear_model_augmentation.aug_ood,0.666667,0.666667,0.666667,0.0,0.666667,0.0,1,0,0.39
performance.mlp_augmentation.gt,0.647619,0.647619,0.647619,0.0,0.647619,0.0,1,0,4.86
performance.mlp_augmentation.aug_ood,0.416667,0.416667,0.416667,0.0,0.416667,0.0,1,0,4.86
performance.xgb_augmentation.gt,0.652381,0.652381,0.652381,0.0,0.652381,0.0,1,0,0.70
performance.xgb_augmentation.aug_ood,0.472222,0.472222,0.472222,0.0,0.472222,0.0,1,0,0.70
performance.feat_rank_distance.corr,-0.065372,-0.065372,0.001000,0.0,-0.065372,0.0,1,0,0.23
performance.feat_rank_distance.pvalue,0.758731,0.758731,0.758731,0.0,0.758731,0.0,1,0,0.23
detection.detection_xgb.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.10
detection.detection_mlp.mean,0.600000,0.600000,0.600000,0.0,0.600000,0.0,1,0,1.73
detection.detection_gmm.mean,0.458333,0.458333,0.458333,0.0,0.458333,0.0,1,0,1.76
detection.detection_linear.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,25.43
privacy.delta-presence.score,0.754098,0.754098,0.754098,0.0,0.754098,0.0,1,0,0.04
privacy.k-anonymization.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.05
privacy.k-anonymization.syn,4.000000,4.000000,4.000000,0.0,4.000000,0.0,1,0,0.05
privacy.k-map.score,61.000000,61.000000,61.000000,0.0,61.000000,0.0,1,0,0.04
privacy.distinct l-diversity.gt,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.06
privacy.distinct l-diversity.syn,4.000000,4.000000,4.000000,0.0,4.000000,0.0,1,0,0.06
privacy.identifiability_score.score,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.08
privacy.identifiability_score.score_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.08
privacy.DomiasMIA_BNAF.accuracy,0.049261,0.049261,0.049261,0.0,0.049261,0.0,1,0,533.89
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,533.89
