                                                        min       max  \
sanity.data_mismatch.score                         0.000000  0.000000   
sanity.common_rows_proportion.score                0.000000  0.000000   
sanity.nearest_syn_neighbor_distance.mean          0.312882  0.312882   
sanity.close_values_probability.score              0.285714  0.285714   
sanity.distant_values_probability.score            0.006494  0.006494   
stats.jensenshannon_dist.marginal                  0.045513  0.045513   
stats.chi_squared_test.marginal                    0.319606  0.319606   
stats.inv_kl_divergence.marginal                   0.468602  0.468602   
stats.ks_test.marginal                             0.444444  0.444444   
stats.max_mean_discrepancy.joint                   0.012987  0.012987   
stats.wasserstein_dist.joint                       0.457461  0.457461   
stats.prdc.precision                               0.201299  0.201299   
stats.prdc.recall                                  0.564935  0.564935   
stats.prdc.density                                 0.102597  0.102597   
stats.prdc.coverage                                0.090909  0.090909   
stats.alpha_precision.delta_precision_alpha_OC     0.176190  0.176190   
stats.alpha_precision.delta_coverage_beta_OC       0.029004  0.029004   
stats.alpha_precision.authenticity_OC              0.954545  0.954545   
stats.alpha_precision.delta_precision_alpha_naive  0.181818  0.181818   
stats.alpha_precision.delta_coverage_beta_naive    0.000000  0.000000   
stats.alpha_precision.authenticity_naive           0.980519  0.980519   
performance.linear_model.gt                        0.821528  0.821528   
performance.linear_model.syn_id                    0.271875  0.271875   
performance.linear_model.syn_ood                   0.018182  0.018182   
performance.mlp.gt                                 0.441406  0.441406   
performance.mlp.syn_id                             0.500000  0.500000   
performance.mlp.syn_ood                            0.500000  0.500000   
performance.xgb.gt                                 0.765799  0.765799   
performance.xgb.syn_id                             0.612066  0.612066   
performance.xgb.syn_ood                            0.677273  0.677273   
performance.linear_model_augmentation.gt           0.821528  0.821528   
performance.linear_model_augmentation.aug_ood      0.018182  0.018182   
performance.mlp_augmentation.gt                    0.441406  0.441406   
performance.mlp_augmentation.aug_ood               0.500000  0.500000   
performance.xgb_augmentation.gt                    0.765799  0.765799   
performance.xgb_augmentation.aug_ood               0.677273  0.677273   
performance.feat_rank_distance.corr                0.297094  0.297094   
performance.feat_rank_distance.pvalue              0.018984  0.018984   
detection.detection_xgb.mean                       0.998335  0.998335   
detection.detection_mlp.mean                       0.500000  0.500000   
detection.detection_gmm.mean                       0.416195  0.416195   
detection.detection_linear.mean                    0.999376  0.999376   
privacy.delta-presence.score                       6.000000  6.000000   
privacy.k-anonymization.gt                         1.000000  1.000000   
privacy.k-anonymization.syn                        2.000000  2.000000   
privacy.k-map.score                                1.000000  1.000000   
privacy.distinct l-diversity.gt                    1.000000  1.000000   
privacy.distinct l-diversity.syn                   2.000000  2.000000   
privacy.identifiability_score.score                0.012987  0.012987   
privacy.identifiability_score.score_OC             0.058442  0.058442   
privacy.DomiasMIA_BNAF.accuracy                    0.343313  0.343313   
privacy.DomiasMIA_BNAF.aucroc                      0.584827  0.584827   
privacy.DomiasMIA_KDE.accuracy                     0.491018  0.491018   
privacy.DomiasMIA_KDE.aucroc                       0.338900  0.338900   
privacy.DomiasMIA_prior.accuracy                   0.491018  0.491018   
privacy.DomiasMIA_prior.aucroc                     0.338900  0.338900   

                                                       mean  stddev    median  \
sanity.data_mismatch.score                         0.000000     0.0  0.000000   
sanity.common_rows_proportion.score                0.000000     0.0  0.000000   
sanity.nearest_syn_neighbor_distance.mean          0.312882     0.0  0.312882   
sanity.close_values_probability.score              0.285714     0.0  0.285714   
sanity.distant_values_probability.score            0.006494     0.0  0.006494   
stats.jensenshannon_dist.marginal                  0.045513     0.0  0.045513   
stats.chi_squared_test.marginal                    0.319606     0.0  0.319606   
stats.inv_kl_divergence.marginal                   0.468602     0.0  0.468602   
stats.ks_test.marginal                             0.444444     0.0  0.444444   
stats.max_mean_discrepancy.joint                   0.012987     0.0  0.012987   
stats.wasserstein_dist.joint                       0.457461     0.0  0.457461   
stats.prdc.precision                               0.201299     0.0  0.201299   
stats.prdc.recall                                  0.564935     0.0  0.564935   
stats.prdc.density                                 0.102597     0.0  0.102597   
stats.prdc.coverage                                0.090909     0.0  0.090909   
stats.alpha_precision.delta_precision_alpha_OC     0.176190     0.0  0.176190   
stats.alpha_precision.delta_coverage_beta_OC       0.029004     0.0  0.029004   
stats.alpha_precision.authenticity_OC              0.954545     0.0  0.954545   
stats.alpha_precision.delta_precision_alpha_naive  0.181818     0.0  0.181818   
stats.alpha_precision.delta_coverage_beta_naive    0.000000     0.0  0.000000   
stats.alpha_precision.authenticity_naive           0.980519     0.0  0.980519   
performance.linear_model.gt                        0.821528     0.0  0.821528   
performance.linear_model.syn_id                    0.271875     0.0  0.271875   
performance.linear_model.syn_ood                   0.018182     0.0  0.018182   
performance.mlp.gt                                 0.441406     0.0  0.441406   
performance.mlp.syn_id                             0.500000     0.0  0.500000   
performance.mlp.syn_ood                            0.500000     0.0  0.500000   
performance.xgb.gt                                 0.765799     0.0  0.765799   
performance.xgb.syn_id                             0.612066     0.0  0.612066   
performance.xgb.syn_ood                            0.677273     0.0  0.677273   
performance.linear_model_augmentation.gt           0.821528     0.0  0.821528   
performance.linear_model_augmentation.aug_ood      0.018182     0.0  0.018182   
performance.mlp_augmentation.gt                    0.441406     0.0  0.441406   
performance.mlp_augmentation.aug_ood               0.500000     0.0  0.500000   
performance.xgb_augmentation.gt                    0.765799     0.0  0.765799   
performance.xgb_augmentation.aug_ood               0.677273     0.0  0.677273   
performance.feat_rank_distance.corr                0.297094     0.0  0.297094   
performance.feat_rank_distance.pvalue              0.018984     0.0  0.018984   
detection.detection_xgb.mean                       0.998335     0.0  0.998335   
detection.detection_mlp.mean                       0.500000     0.0  0.500000   
detection.detection_gmm.mean                       0.416195     0.0  0.416195   
detection.detection_linear.mean                    0.999376     0.0  0.999376   
privacy.delta-presence.score                       6.000000     0.0  6.000000   
privacy.k-anonymization.gt                         1.000000     0.0  1.000000   
privacy.k-anonymization.syn                        2.000000     0.0  2.000000   
privacy.k-map.score                                1.000000     0.0  1.000000   
privacy.distinct l-diversity.gt                    1.000000     0.0  1.000000   
privacy.distinct l-diversity.syn                   2.000000     0.0  2.000000   
privacy.identifiability_score.score                0.012987     0.0  0.012987   
privacy.identifiability_score.score_OC             0.058442     0.0  0.058442   
privacy.DomiasMIA_BNAF.accuracy                    0.343313     0.0  0.343313   
privacy.DomiasMIA_BNAF.aucroc                      0.584827     0.0  0.584827   
privacy.DomiasMIA_KDE.accuracy                     0.491018     0.0  0.491018   
privacy.DomiasMIA_KDE.aucroc                       0.338900     0.0  0.338900   
privacy.DomiasMIA_prior.accuracy                   0.491018     0.0  0.491018   
privacy.DomiasMIA_prior.aucroc                     0.338900     0.0  0.338900   

                                                   iqr rounds errors  \
sanity.data_mismatch.score                         0.0      1      0   
sanity.common_rows_proportion.score                0.0      1      0   
sanity.nearest_syn_neighbor_distance.mean          0.0      1      0   
sanity.close_values_probability.score              0.0      1      0   
sanity.distant_values_probability.score            0.0      1      0   
stats.jensenshannon_dist.marginal                  0.0      1      0   
stats.chi_squared_test.marginal                    0.0      1      0   
stats.inv_kl_divergence.marginal                   0.0      1      0   
stats.ks_test.marginal                             0.0      1      0   
stats.max_mean_discrepancy.joint                   0.0      1      0   
stats.wasserstein_dist.joint                       0.0      1      0   
stats.prdc.precision                               0.0      1      0   
stats.prdc.recall                                  0.0      1      0   
stats.prdc.density                                 0.0      1      0   
stats.prdc.coverage                                0.0      1      0   
stats.alpha_precision.delta_precision_alpha_OC     0.0      1      0   
stats.alpha_precision.delta_coverage_beta_OC       0.0      1      0   
stats.alpha_precision.authenticity_OC              0.0      1      0   
stats.alpha_precision.delta_precision_alpha_naive  0.0      1      0   
stats.alpha_precision.delta_coverage_beta_naive    0.0      1      0   
