                                                        min       max  \
sanity.data_mismatch.score                         0.000000  0.000000   
sanity.common_rows_proportion.score                0.000000  0.000000   
sanity.nearest_syn_neighbor_distance.mean          0.249865  0.249865   
sanity.close_values_probability.score              0.473684  0.473684   
sanity.distant_values_probability.score            0.052632  0.052632   
stats.jensenshannon_dist.marginal                  0.052914  0.052914   
stats.chi_squared_test.marginal                    0.353847  0.353847   
stats.inv_kl_divergence.marginal                   0.484164  0.484164   
stats.ks_test.marginal                             0.413413  0.413413   
stats.max_mean_discrepancy.joint                   0.017544  0.017544   
stats.wasserstein_dist.joint                       3.377650  3.377650   
stats.prdc.precision                               0.122807  0.122807   
stats.prdc.recall                                  1.000000  1.000000   
stats.prdc.density                                 0.052632  0.052632   
stats.prdc.coverage                                0.166667  0.166667   
stats.alpha_precision.delta_precision_alpha_OC     0.021637  0.021637   
stats.alpha_precision.delta_coverage_beta_OC       0.000000  0.000000   
stats.alpha_precision.authenticity_OC              1.000000  1.000000   
stats.alpha_precision.delta_precision_alpha_naive  0.032749  0.032749   
stats.alpha_precision.delta_coverage_beta_naive    0.000000  0.000000   
stats.alpha_precision.authenticity_naive           1.000000  1.000000   
performance.linear_model.gt                        0.980736  0.980736   
performance.linear_model.syn_id                    0.731205  0.731205   
performance.linear_model.syn_ood                   0.550000  0.550000   
performance.mlp.gt                                 0.500000  0.500000   
performance.mlp.syn_id                             0.071537  0.071537   
performance.mlp.syn_ood                            0.158333  0.158333   
performance.xgb.gt                                 0.994625  0.994625   
performance.xgb.syn_id                             0.744733  0.744733   
performance.xgb.syn_ood                            0.600000  0.600000   
performance.linear_model_augmentation.gt           0.980736  0.980736   
performance.linear_model_augmentation.aug_ood      0.550000  0.550000   
performance.mlp_augmentation.gt                    0.500000  0.500000   
performance.mlp_augmentation.aug_ood               0.158333  0.158333   
performance.xgb_augmentation.gt                    0.994625  0.994625   
performance.xgb_augmentation.aug_ood               0.600000  0.600000   
performance.feat_rank_distance.corr                0.198020  0.198020   
performance.feat_rank_distance.pvalue              0.186507  0.186507   
detection.detection_xgb.mean                       1.000000  1.000000   
detection.detection_mlp.mean                       0.860569  0.860569   
detection.detection_gmm.mean                       0.444466  0.444466   
detection.detection_linear.mean                    0.970906  0.970906   
privacy.delta-presence.score                       3.200000  3.200000   
privacy.k-anonymization.gt                         1.000000  1.000000   
privacy.k-anonymization.syn                        1.000000  1.000000   
privacy.k-map.score                                3.000000  3.000000   
privacy.distinct l-diversity.gt                    1.000000  1.000000   
privacy.distinct l-diversity.syn                   1.000000  1.000000   
privacy.identifiability_score.score                0.017544  0.017544   
privacy.identifiability_score.score_OC             0.000000  0.000000   
privacy.DomiasMIA_BNAF.accuracy                    0.026738  0.026738   
privacy.DomiasMIA_BNAF.aucroc                      0.500000  0.500000   

                                                       mean  stddev    median  \
sanity.data_mismatch.score                         0.000000     0.0  0.000000   
sanity.common_rows_proportion.score                0.000000     0.0  0.000000   
sanity.nearest_syn_neighbor_distance.mean          0.249865     0.0  0.249865   
sanity.close_values_probability.score              0.473684     0.0  0.473684   
sanity.distant_values_probability.score            0.052632     0.0  0.052632   
stats.jensenshannon_dist.marginal                  0.052914     0.0  0.052914   
stats.chi_squared_test.marginal                    0.353847     0.0  0.353847   
stats.inv_kl_divergence.marginal                   0.484164     0.0  0.484164   
stats.ks_test.marginal                             0.413413     0.0  0.413413   
stats.max_mean_discrepancy.joint                   0.017544     0.0  0.017544   
stats.wasserstein_dist.joint                       3.377650     0.0  3.377650   
stats.prdc.precision                               0.122807     0.0  0.122807   
stats.prdc.recall                                  1.000000     0.0  1.000000   
stats.prdc.density                                 0.052632     0.0  0.052632   
stats.prdc.coverage                                0.166667     0.0  0.166667   
stats.alpha_precision.delta_precision_alpha_OC     0.021637     0.0  0.021637   
stats.alpha_precision.delta_coverage_beta_OC       0.000000     0.0  0.000000   
stats.alpha_precision.authenticity_OC              1.000000     0.0  1.000000   
stats.alpha_precision.delta_precision_alpha_naive  0.032749     0.0  0.032749   
stats.alpha_precision.delta_coverage_beta_naive    0.000000     0.0  0.000000   
stats.alpha_precision.authenticity_naive           1.000000     0.0  1.000000   
performance.linear_model.gt                        0.980736     0.0  0.980736   
performance.linear_model.syn_id                    0.731205     0.0  0.731205   
performance.linear_model.syn_ood                   0.550000     0.0  0.550000   
performance.mlp.gt                                 0.500000     0.0  0.500000   
performance.mlp.syn_id                             0.071537     0.0  0.071537   
performance.mlp.syn_ood                            0.158333     0.0  0.158333   
performance.xgb.gt                                 0.994625     0.0  0.994625   
performance.xgb.syn_id                             0.744733     0.0  0.744733   
performance.xgb.syn_ood                            0.600000     0.0  0.600000   
performance.linear_model_augmentation.gt           0.980736     0.0  0.980736   
performance.linear_model_augmentation.aug_ood      0.550000     0.0  0.550000   
performance.mlp_augmentation.gt                    0.500000     0.0  0.500000   
performance.mlp_augmentation.aug_ood               0.158333     0.0  0.158333   
performance.xgb_augmentation.gt                    0.994625     0.0  0.994625   
performance.xgb_augmentation.aug_ood               0.600000     0.0  0.600000   
performance.feat_rank_distance.corr                0.198020     0.0  0.198020   
performance.feat_rank_distance.pvalue              0.186507     0.0  0.186507   
detection.detection_xgb.mean                       1.000000     0.0  1.000000   
detection.detection_mlp.mean                       0.860569     0.0  0.860569   
detection.detection_gmm.mean                       0.444466     0.0  0.444466   
detection.detection_linear.mean                    0.970906     0.0  0.970906   
privacy.delta-presence.score                       3.200000     0.0  3.200000   
privacy.k-anonymization.gt                         1.000000     0.0  1.000000   
privacy.k-anonymization.syn                        1.000000     0.0  1.000000   
privacy.k-map.score                                3.000000     0.0  3.000000   
privacy.distinct l-diversity.gt                    1.000000     0.0  1.000000   
privacy.distinct l-diversity.syn                   1.000000     0.0  1.000000   
privacy.identifiability_score.score                0.017544     0.0  0.017544   
privacy.identifiability_score.score_OC             0.000000     0.0  0.000000   
privacy.DomiasMIA_BNAF.accuracy                    0.026738     0.0  0.026738   
privacy.DomiasMIA_BNAF.aucroc                      0.500000     0.0  0.500000   

                                                   iqr rounds errors  \
sanity.data_mismatch.score                         0.0      1      0   
sanity.common_rows_proportion.score                0.0      1      0   
sanity.nearest_syn_neighbor_distance.mean          0.0      1      0   
sanity.close_values_probability.score              0.0      1      0   
sanity.distant_values_probability.score            0.0      1      0   
stats.jensenshannon_dist.marginal                  0.0      1      0   
stats.chi_squared_test.marginal                    0.0      1      0   
stats.inv_kl_divergence.marginal                   0.0      1      0   
stats.ks_test.marginal                             0.0      1      0   
stats.max_mean_discrepancy.joint                   0.0      1      0   
stats.wasserstein_dist.joint                       0.0      1      0   
stats.prdc.precision                               0.0      1      0   
stats.prdc.recall                                  0.0      1      0   
stats.prdc.density                                 0.0      1      0   
stats.prdc.coverage                                0.0      1      0   
stats.alpha_precision.delta_precision_alpha_OC     0.0      1      0   
stats.alpha_precision.delta_coverage_beta_OC       0.0      1      0   
stats.alpha_precision.authenticity_OC              0.0      1      0   
stats.alpha_precision.delta_precision_alpha_naive  0.0      1      0   
stats.alpha_precision.delta_coverage_beta_naive    0.0      1      0   
stats.alpha_precision.authenticity_naive           0.0      1      0   
performance.linear_model.gt                        0.0      1      0   
performance.linear_model.syn_id                    0.0      1      0   
performance.linear_model.syn_ood                   0.0      1      0   
performance.mlp.gt                                 0.0      1      0   
performance.mlp.syn_id                             0.0      1      0   
performance.mlp.syn_ood                            0.0      1      0   
performance.xgb.gt                                 0.0      1      0   
performance.xgb.syn_id                             0.0      1      0   
performance.xgb.syn_ood                            0.0      1      0   
performance.linear_model_augmentation.gt           0.0      1      0   
performance.linear_model_augmentation.aug_ood      0.0      1      0   
