                                                        min       max  \
sanity.data_mismatch.score                         0.000000  0.000000   
sanity.common_rows_proportion.score                0.000000  0.000000   
sanity.nearest_syn_neighbor_distance.mean          0.172594  0.172594   
sanity.close_values_probability.score              0.727273  0.727273   
sanity.distant_values_probability.score            0.012987  0.012987   
stats.jensenshannon_dist.marginal                  0.070472  0.070472   
stats.chi_squared_test.marginal                    0.134725  0.134725   
stats.inv_kl_divergence.marginal                   0.231383  0.231383   
stats.ks_test.marginal                             0.280664  0.280664   
stats.max_mean_discrepancy.joint                   0.013269  0.013269   
stats.wasserstein_dist.joint                       1.559023  1.559023   
stats.prdc.precision                               0.000000  0.000000   
stats.prdc.recall                                  0.000000  0.000000   
stats.prdc.density                                 0.000000  0.000000   
stats.prdc.coverage                                0.000000  0.000000   
stats.alpha_precision.delta_precision_alpha_OC     0.340693  0.340693   
stats.alpha_precision.delta_coverage_beta_OC       0.012987  0.012987   
stats.alpha_precision.authenticity_OC              0.993506  0.993506   
stats.alpha_precision.delta_precision_alpha_naive  0.000000  0.000000   
stats.alpha_precision.delta_coverage_beta_naive    0.000000  0.000000   
stats.alpha_precision.authenticity_naive           1.000000  1.000000   
performance.linear_model.gt                        0.821528  0.821528   
performance.linear_model.syn_id                    0.790625  0.790625   
performance.linear_model.syn_ood                   0.900000  0.900000   
performance.mlp.gt                                 0.441406  0.441406   
performance.mlp.syn_id                             0.500000  0.500000   
performance.mlp.syn_ood                            0.500000  0.500000   
performance.xgb.gt                                 0.765799  0.765799   
performance.xgb.syn_id                             0.505035  0.505035   
performance.xgb.syn_ood                            0.500000  0.500000   
performance.linear_model_augmentation.gt           0.821528  0.821528   
performance.linear_model_augmentation.aug_ood      0.900000  0.900000   
performance.mlp_augmentation.gt                    0.441406  0.441406   
performance.mlp_augmentation.aug_ood               0.500000  0.500000   
performance.xgb_augmentation.gt                    0.765799  0.765799   
performance.xgb_augmentation.aug_ood               0.500000  0.500000   
performance.feat_rank_distance.corr               -0.228370 -0.228370   
performance.feat_rank_distance.pvalue              0.075970  0.075970   
detection.detection_xgb.mean                       0.996774  0.996774   
detection.detection_mlp.mean                       1.000000  1.000000   
detection.detection_gmm.mean                       0.300347  0.300347   
detection.detection_linear.mean                    1.000000  1.000000   
privacy.delta-presence.score                       2.800000  2.800000   
privacy.k-anonymization.gt                         1.000000  1.000000   
privacy.k-anonymization.syn                        1.000000  1.000000   
privacy.k-map.score                                5.000000  5.000000   
privacy.distinct l-diversity.gt                    1.000000  1.000000   
privacy.distinct l-diversity.syn                   1.000000  1.000000   
privacy.identifiability_score.score                0.000000  0.000000   
privacy.identifiability_score.score_OC             0.019481  0.019481   
privacy.DomiasMIA_BNAF.accuracy                    0.173653  0.173653   
privacy.DomiasMIA_BNAF.aucroc                      0.523116  0.523116   

                                                       mean  stddev    median  \
sanity.data_mismatch.score                         0.000000     0.0  0.000000   
sanity.common_rows_proportion.score                0.000000     0.0  0.000000   
sanity.nearest_syn_neighbor_distance.mean          0.172594     0.0  0.172594   
sanity.close_values_probability.score              0.727273     0.0  0.727273   
sanity.distant_values_probability.score            0.012987     0.0  0.012987   
stats.jensenshannon_dist.marginal                  0.070472     0.0  0.070472   
stats.chi_squared_test.marginal                    0.134725     0.0  0.134725   
stats.inv_kl_divergence.marginal                   0.231383     0.0  0.231383   
stats.ks_test.marginal                             0.280664     0.0  0.280664   
stats.max_mean_discrepancy.joint                   0.013269     0.0  0.013269   
stats.wasserstein_dist.joint                       1.559023     0.0  1.559023   
stats.prdc.precision                               0.000000     0.0  0.000000   
stats.prdc.recall                                  0.000000     0.0  0.000000   
stats.prdc.density                                 0.000000     0.0  0.000000   
stats.prdc.coverage                                0.000000     0.0  0.000000   
stats.alpha_precision.delta_precision_alpha_OC     0.340693     0.0  0.340693   
stats.alpha_precision.delta_coverage_beta_OC       0.012987     0.0  0.012987   
stats.alpha_precision.authenticity_OC              0.993506     0.0  0.993506   
stats.alpha_precision.delta_precision_alpha_naive  0.000000     0.0  0.000000   
stats.alpha_precision.delta_coverage_beta_naive    0.000000     0.0  0.000000   
stats.alpha_precision.authenticity_naive           1.000000     0.0  1.000000   
performance.linear_model.gt                        0.821528     0.0  0.821528   
performance.linear_model.syn_id                    0.790625     0.0  0.790625   
performance.linear_model.syn_ood                   0.900000     0.0  0.900000   
performance.mlp.gt                                 0.441406     0.0  0.441406   
performance.mlp.syn_id                             0.500000     0.0  0.500000   
performance.mlp.syn_ood                            0.500000     0.0  0.500000   
performance.xgb.gt                                 0.765799     0.0  0.765799   
performance.xgb.syn_id                             0.505035     0.0  0.505035   
performance.xgb.syn_ood                            0.500000     0.0  0.500000   
performance.linear_model_augmentation.gt           0.821528     0.0  0.821528   
performance.linear_model_augmentation.aug_ood      0.900000     0.0  0.900000   
performance.mlp_augmentation.gt                    0.441406     0.0  0.441406   
performance.mlp_augmentation.aug_ood               0.500000     0.0  0.500000   
performance.xgb_augmentation.gt                    0.765799     0.0  0.765799   
performance.xgb_augmentation.aug_ood               0.500000     0.0  0.500000   
performance.feat_rank_distance.corr                0.001000     0.0 -0.228370   
performance.feat_rank_distance.pvalue              0.075970     0.0  0.075970   
detection.detection_xgb.mean                       0.996774     0.0  0.996774   
detection.detection_mlp.mean                       1.000000     0.0  1.000000   
detection.detection_gmm.mean                       0.300347     0.0  0.300347   
detection.detection_linear.mean                    1.000000     0.0  1.000000   
privacy.delta-presence.score                       2.800000     0.0  2.800000   
privacy.k-anonymization.gt                         1.000000     0.0  1.000000   
privacy.k-anonymization.syn                        1.000000     0.0  1.000000   
privacy.k-map.score                                5.000000     0.0  5.000000   
privacy.distinct l-diversity.gt                    1.000000     0.0  1.000000   
privacy.distinct l-diversity.syn                   1.000000     0.0  1.000000   
privacy.identifiability_score.score                0.000000     0.0  0.000000   
privacy.identifiability_score.score_OC             0.019481     0.0  0.019481   
privacy.DomiasMIA_BNAF.accuracy                    0.173653     0.0  0.173653   
privacy.DomiasMIA_BNAF.aucroc                      0.523116     0.0  0.523116   

                                                   iqr rounds errors  \
sanity.data_mismatch.score                         0.0      1      0   
sanity.common_rows_proportion.score                0.0      1      0   
sanity.nearest_syn_neighbor_distance.mean          0.0      1      0   
sanity.close_values_probability.score              0.0      1      0   
sanity.distant_values_probability.score            0.0      1      0   
stats.jensenshannon_dist.marginal                  0.0      1      0   
stats.chi_squared_test.marginal                    0.0      1      0   
stats.inv_kl_divergence.marginal                   0.0      1      0   
stats.ks_test.marginal                             0.0      1      0   
stats.max_mean_discrepancy.joint                   0.0      1      0   
stats.wasserstein_dist.joint                       0.0      1      0   
stats.prdc.precision                               0.0      1      0   
stats.prdc.recall                                  0.0      1      0   
stats.prdc.density                                 0.0      1      0   
stats.prdc.coverage                                0.0      1      0   
stats.alpha_precision.delta_precision_alpha_OC     0.0      1      0   
stats.alpha_precision.delta_coverage_beta_OC       0.0      1      0   
stats.alpha_precision.authenticity_OC              0.0      1      0   
stats.alpha_precision.delta_precision_alpha_naive  0.0      1      0   
stats.alpha_precision.delta_coverage_beta_naive    0.0      1      0   
stats.alpha_precision.authenticity_naive           0.0      1      0   
performance.linear_model.gt                        0.0      1      0   
performance.linear_model.syn_id                    0.0      1      0   
performance.linear_model.syn_ood                   0.0      1      0   
performance.mlp.gt                                 0.0      1      0   
performance.mlp.syn_id                             0.0      1      0   
performance.mlp.syn_ood                            0.0      1      0   
performance.xgb.gt                                 0.0      1      0   
performance.xgb.syn_id                             0.0      1      0   
performance.xgb.syn_ood                            0.0      1      0   
performance.linear_model_augmentation.gt           0.0      1      0   
performance.linear_model_augmentation.aug_ood      0.0      1      0   
